"ID";"ENSEIGNE";"NUMERO ET LIBELLE DE VOIE";"COMPLEMENT";"CODE POSTAL";"COMMUNE"
303;"Tabac Le Central";"28 place paul doumer";;"02800";"FERE"
304;"Tabac";"107 avenue du general leclerc";;"02800";"FERE"
305;"Tabac";"3 faub saint firmin";;"02800";"FERE"
306;"Tabac Le Reinitas";"15 place de la republique";;"02130";"FERE-EN-TARDENOIS"
307;"Le Milonais";"13 rue de la cite";;"02460";"FERTE-MILON"
308;"Le Narval";"54 rue de la chaussee";;"02460";"FERTE-MILON"
309;"Tabac";"421 rue de vervins";;"02120";"GUISE"
310;"Tabac La Thevenotte";"2 rue marcel maillard";;"02670";"FOLEMBRAY"
311;"Cafe De La Mairie";"48 rue de soissons";;"02290";"FONTENOY"
312;"Tabac Le Longchamp";"2 place du general de gaulle";;"02230";"FRESNOY-LE-GRAND"
313;"Le Nemrod";"17 rue jules vercruysse";;"02430";"GAUCHY"
314;"Tabac L'excuse";"531 rue de robbee";;"02120";"GUISE"
315;"Cafe Du Fort";"3 rue camille desmoulins";;"02120";"GUISE"
316;"Le Celtic";"1327 route de guise";;"02100";"HARLY"
317;"La Bambochade";"32 grande rue";;"02210";"HARTENNES-ET-TAUX"
318;"Le Central";"45 rue jean-jaures";;"02420";"LEHAUCOURT"
319;"Le Chiquito";"11 place rousseau";;"02500";"HIRSON"
320;"L'expresso";"33 rue alexandre dumas";;"02500";"HIRSON"
321;"Tabac";"3 rue aime gosset";;"02720";"HOMBLIERES"
322;"Le Rialto";"5 place general leclerc";;"02000";"LAON"
323;"Tabac";"4 rue du pre robert";;"02000";"LAON"
324;"Tabac";"23 avenue carnot";;"02000";"LAON"
325;"Tabac";"8 place saint julien";;"02000";"LAON"
326;"Tabac Le Cyrano";"161 rue arsene houssaye";;"02000";"LAON"
327;"Tabac";"28 rue gabriel peri";;"02000";"LAON"
328;"Le Saint Marcel";"62 bd pierre brossolette";;"02000";"LAON"
329;"Tabac Le Longchamp";"13 rue eugene leduc";;"02000";"LAON"
330;"Tabac";"30 rue chatelaine";;"02000";"LAON"
331;"Tabac La Champagne";"10 place des maraichers";;"02000";"LAON"
332;"Tabac";"9 rue de bourgogne";;"02100";"LESDINS"
333;"Tabac";"29 rue du vilpion";;"02140";"LUGNY"
334;"Tabac Le Rivage";"4 place de la mairie";;"02160";"MAIZY"
335;"Maison De La Presse";"11 place francois mitterand";;"02250";"MARLE"
336;"Tabac";"17 rue leuze";;"02500";"MARTIGNY"
337;"Tabac Cafe La Maison Blanche";"2 route de compiegne";;"02200";"MERCIN-ET-VAUX"
338;"Tabac Au Bon Accueil";"3 rue de soissons";;"02880";"MISSY-SUR-AISNE"
339;"Tabac Boulangerie";"20 rue du prieure";;"02820";"MONTAIGU"
340;"Tabac Au Coq Vainqueur";"31 avenue de la victoire";;"02440";"MONTESCOURT-LIZEROLLES"
341;"Tabac Chez Marie-line";"2 rue du commandant guy";;"02100";"MORCOURT"
342;"La Renaissance";"15 rue georges clemenceau";"La Renaissance";"02610";"MOY-DE-L'AISNE"
343;"Tabac Hotel Du Cheval Blanc";"3 place du colonel driant";;"02190";"NEUFCHATEL-SUR-AISNE"
344;"Tabac L'escale";"39 avenue de la liberation";;"02400";"NOGENTEL"
345;"Tabac Le Score";"20 place du general de gaulle";;"02170";"NOUVION-EN-THIERACHE"
346;"Au Petit Comptoir";"21 rue des petits paves";;"02270";"NOUVION-ET-CATILLON"
347;"Aux Tiot Pequeux";"3 rue du canal";"Aux T'iot Pequeux";"02450";"OISY"
348;"Le Vieux Moulin";"75 rue pasteur";;"02390";"ORIGNY-SAINTE-BENOITE"
349;"Tabac Rendez Vous Des Pecheurs";"1 rue du porcot";;"02350";"PIERREPONT"
350;"Hotel De La Croix Blanche";"10 place charles de gaulle";"Hotel De La Croix Blanche";"02320";"PINON"
351;"Tabac";"47 rue du grand montoir";;"02600";"VILLERS-COTTERETS"
352;"Cafe Des Sports";"4 rue eugene potelet";;"02320";"PREMONTRE"
353;"Au Cherizien";"3 rue andre gossard";;"02300";"QUIERZY"
354;"--";"82 rue andre brule";;"02520";"FLAVY-LE-MARTEL"
355;"Tabac";"5 rue de montevideo";;"02410";"SAINT-GOBAIN"
356;"Tabac";"103 rue d isle";;"02100";"SAINT-QUENTIN"
357;"Tabac Le Longchamp";"5 rue de mulhouse";;"02100";"SAINT-QUENTIN"
358;"Le Saint Louis";"27 rue danton";;"02100";"SAINT-QUENTIN"
359;"Tabac";"7 rue des toiles";;"02100";"SAINT-QUENTIN"
